system:index,date,ndti_mean,.geo
261,2014-09-19,-0.12181060919120969,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,2014-09-20,-0.1151470381643171,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,2014-09-21,-0.1139453127505442,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,2014-09-22,-0.13432124159731978,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,2014-09-23,-0.1208258146905587,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,2014-09-24,-0.1401965543413526,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,2014-09-25,-0.1240192581616948,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,2014-09-26,-0.12765040505577757,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,2014-09-27,-0.14289274024044404,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,2014-09-28,-0.02617783082806611,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,2014-09-29,-0.06466671174931163,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,2014-09-30,-0.11937327681059268,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,2014-10-01,-0.11984524386442139,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,2014-10-02,-0.09071458032567808,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,2014-10-03,-0.11369173540560927,"{""type"":""MultiPoint"",""coordinates"":[]}"
276,2014-10-04,-0.12993250652177998,"{""type"":""MultiPoint"",""coordinates"":[]}"
277,2014-10-05,-0.10676193064358842,"{""type"":""MultiPoint"",""coordinates"":[]}"
278,2014-10-06,-0.12750453744041432,"{""type"":""MultiPoint"",""coordinates"":[]}"
279,2014-10-07,-0.10444225491417301,"{""type"":""MultiPoint"",""coordinates"":[]}"
280,2014-10-08,-0.1244873004725851,"{""type"":""MultiPoint"",""coordinates"":[]}"
281,2014-10-09,-0.1055823997228381,"{""type"":""MultiPoint"",""coordinates"":[]}"
282,2014-10-10,-0.12342909158945123,"{""type"":""MultiPoint"",""coordinates"":[]}"
283,2014-10-11,-0.08713497987055523,"{""type"":""MultiPoint"",""coordinates"":[]}"
284,2014-10-12,-0.10420737373469294,"{""type"":""MultiPoint"",""coordinates"":[]}"
285,2014-10-13,-0.10170968070595009,"{""type"":""MultiPoint"",""coordinates"":[]}"
286,2014-10-14,-0.05215448724108997,"{""type"":""MultiPoint"",""coordinates"":[]}"
287,2014-10-15,-0.08966367962175059,"{""type"":""MultiPoint"",""coordinates"":[]}"
288,2014-10-16,-0.0918782995389389,"{""type"":""MultiPoint"",""coordinates"":[]}"
289,2014-10-17,-0.12282046814159936,"{""type"":""MultiPoint"",""coordinates"":[]}"
290,2014-10-18,-0.0625205759563518,"{""type"":""MultiPoint"",""coordinates"":[]}"
291,2014-10-19,-0.022542552453688663,"{""type"":""MultiPoint"",""coordinates"":[]}"
292,2014-10-20,-0.07920142129290232,"{""type"":""MultiPoint"",""coordinates"":[]}"
293,2014-10-21,-0.09456280357239329,"{""type"":""MultiPoint"",""coordinates"":[]}"
294,2014-10-22,-0.1070341310077716,"{""type"":""MultiPoint"",""coordinates"":[]}"
295,2014-10-23,-0.0964568771014774,"{""type"":""MultiPoint"",""coordinates"":[]}"
296,2014-10-24,-0.12759196096580802,"{""type"":""MultiPoint"",""coordinates"":[]}"
297,2014-10-25,-0.09538996073740934,"{""type"":""MultiPoint"",""coordinates"":[]}"
298,2014-10-26,,"{""type"":""MultiPoint"",""coordinates"":[]}"
299,2014-10-27,-0.06168666451184101,"{""type"":""MultiPoint"",""coordinates"":[]}"
300,2014-10-28,-0.08892555921795331,"{""type"":""MultiPoint"",""coordinates"":[]}"
301,2014-10-29,-0.11857541239234841,"{""type"":""MultiPoint"",""coordinates"":[]}"
